Series_Number,Filename,Name,Description,Gender,Attributes,UUID,HASH
274,Lucy-the-fumigator,Lucy the fumigator,Lucy is nicknamed the pest hilter,Female,"hair:red, eyes: blue, Teeth: none, clothing: multicolour ankara, Expression: none, Strength: Determination, Weakness: Self-criticism",c7269d44-aab3-41e7-a54f-18a14f575a6b,98a4a04eb3bad9c0296c1a357464ea353dcb1d7258c82dfd84c429361842d633
275,Nneka-wedding-planner,Nneka wedding planner,Nneka plans the best weddings with great details.,Female,"hair:brown braids, eyes: grey, Teeth: none, clothing: multicolour ankara, Expression: none, Strength: hard worker, Weakness:Analytical skills",31ac6b7a-e378-4dc3-999d-b9e8d8473f99,0afd6bc5d51ce0d57eb61ca6997d8b6c61657262c514c360b2a8dd1e2dc163e3
276,Shakira-the-gangster,Shakira the gangster,Shakira is the most feared criminal.,Female,"hair:brown braids, eyes: grey, Teeth: none, clothing: gold and brown, Expression: none, Strength: Intentional, Weakness: Rash in decisin making",dbdc1351-aa07-46e2-935f-2db071b1b23d,878b9119d456f14d634e7838ff21dd818ec2440352fb5e57be8cfbb68fef0985
277,Lola-afropopping-princess,Lola afropopping princess,Lola licks lollipops like an afropop queen,Female,"hair:brown afro, eyes: closed, Teeth: none, clothing: black ankara, Expression: none, Strength: great communicator, Weakness:writing",2f5cadae-e423-4478-8220-37b3ac144169,efdac396f27ae261925a518d003d8ddfa8cfcb278eb97f6ecc1b3d4a659135e9
278,Sharon-walking-dead,Sharon walking dead,When tired Sharon walks like the dead,Female,"hair:dark brown, eyes: closed, Teeth: open teeth, clothing: blue ankara, Expression: loud, Strength: people skills, Weakness:Empathy",1fc37341-7dd1-480c-a01b-a63bee0a2230,96e1b079ecc4eaa80bda878bff169e3ee5a4950efe0ca7df7fc3018db11f85b8
279,Olivia-great-teacher,Olivia great teacher,Students enjoys Olivia's classes,Female,"hair:dark brown, eyes: closed, Teeth: none, clothing: multicolour ankara, Expression: none, Strength: Empathy, Weakness: Computer literacy.",cfc4419e-bd46-40f6-9654-632ac1138ff1,f77fe7d0844c28e7d21bb914d993e7a121ccd9ab8749d86062a3352e3dac1866
280,Nicole-sleep-warrior,Nicole sleep warrior,"Nicole holds the sleep award in our community, she wouldn't wake up at the sound of a detonated nuclear bomb.",Female,"hair:black, eyes: closed, Teeth: none, clothing: multicolour ankara with red base, Expression: none, Strength: Leadership, Weakness: Initiative.",710ae821-4603-4124-bd60-a33b515b3b8d,c1fe25ee10238d0775f2a6547ae7fb02a910b34011b908fff2c146320795e964
,,,,,,,5de3e4fcbf75b5bd3207eb0f8095b6469c289cdfae93d4e1693246ee6e76f0d1
281,Busola-the-shakara,Busola the shakara,She is a fashion icon that loves luxurious items.,Female,Hair: Brown Eyes: Shades Teeth: Closed Clothing: Yellow and blue Ankara Accessories: Shades Expression: Passive Strength: Confident Weakness: Over-spending,ec4a855a-5ceb-4f1b-bbd7-a995aa45e875,7d9c17507ed2adc35f9f1cc50831f053ee3402fe83514cba7625efb84b78e7f7
282,Bella-the-artist,Bella the artist,A lady that host a fashion week show,Female,Hair: Blond Eyes: Shades Teeth: Closed Clothing: Black and yellow Ankara Accessories: Shades Expression: Straight-face Strength: Creativity Weakness: Perfectionist,48772412-dacb-4984-9e82-8d24fe101265,02256bc54bf1de89907a499ad36f01f56e3efe6f5ec632ba63513ffd2b162358
283,Queen-the-extrovert,Queen the extrovert,A woman who enjoys being high all the time,Female,"Hair: Brown Eyes: Shades Teeth: Closed Clothing: Multi-colored Ankara Accessories: Shades, smoking pipe Expression: Sassy Strength: Self-assured Weakness: Conceited ",1712532a-20d9-4ccb-8582-bffd76c9fb67,01105c732c5c7d86b524685d6f76e21f45941b4e0602a6aa1e478f573be305ac
284,Mary-toxic-lady,Mary toxic lady,A lady who's toxic around people,Female,Hair: Two buns Eyes: Shades Teeth: White Clothing: Animal prints Accessories: Shades Expression: Angry Strength: Bully Weakness: Insecurity,bc31af8d-c45d-4797-adfc-596fb22e4e3a,de8f575e13e211ef45cef5d36961b1cab91a7df53d079e2795b86593bb211c54
285,Elizabeth-the-richkid,Elizabeth the richkid,A university undergraduate from a rich background,Male,Hair: Blond Eyes: Shades Teeth: Closed Clothing: Blacktop Accessories: Shades Expression: Straight-face Strength: Wealth Weakness: Lack of real friends,21fad782-1b6f-4c2d-b157-9fdb9355c876,7a4daeaca393419af54f1cb22b2f8680dd550a11991018a58f189d510ba561a8
286,Larry-the-westerner,Larry the westerner,A Yoruba Man who smokes his pipe in peace,Male,"Hair: Covered Eyes: White Teeth: Closed Clothing: Purple and yellow Agbada Accessories: Cap, smoking pipe Expression: Passive Strength: Likes to be in control Weakness: Lazy",d4984fa6-dabf-409f-839f-76742ec71500,078bca4c98a5d5b63220cefe34a36379b11d6eb297a3480eab6743a8528d125b
287,Danjuma-the-shocked,Danjuma the shocked,A pensioneer who got told his bank is on distress,Male,Hair: Covered Eyes: White Teeth: White Clothing: Wrapper across one shoulder Accessories: Cap Expression: Shocked Strength: Hard-worker Weakness: Shyness,0187ca7f-f3b1-42ae-9e17-c46d58617608,f6877e4a7c4d2997eb7f991ee03fde1d7683c7493ce7ac115da435b935d337ab
288,Yomi-the-fashionista,Yomi the fashionista,Winner of the Lagos GT Bank fashion week.,Male,Hair: Covered Eyes: White Teeth: White Clothing: Wrapper across one shoulder Accessories: Cap Expression: Shocked Strength: Hard-worker Weakness: Lack of wealth,16d256ba-dc4e-4559-ae41-59779f351ad3,7cb46efab8be42012b00b6cec01bbc7412e4712dd61b8bc7109a91486bab686b
289,Ibu-the-importer,Ibu the importer,A rich igbo trader who imports goods in onitsha market,Male,Hair: Covered Eyes: Light blue Teeth: White and a gold tooth Clothing: Isi-agu Accessories: Cap Expression: Straight-face Strength: Wealth Weakness: Irrational,d3edc876-3f2f-4699-a376-0787bb06c5d5,b73af7a56ff1efd5f390a3807b886770c014bc0f8b25c9af894c19d2748b7bad
290,Massa-the-ghanian,Massa the ghanian,A rich Ghanian trader.,Male,Hair: Covered Eyes: Closed Teeth: White Clothing: Akan Accessories: Cap Expression: Happy Strength: Wealth Weakness: Irrational,9a9a5fbd-7a3c-469c-95f2-50303c2e9fc8,576feb8373cbb40250c9c306c36d656ef8fd614fc905ac2b33120f72bc10c676
291,James-the-musician,James the musician,A yoruba juju artist,Male,Hair: Brown Eyes: Closed Teeth: White Clothing: Akan Accessories: None Expression: Happy Strength: Good voice Weakness: Womanizer,0d4ad447-3836-47cd-8387-066b200cda01,0387dd185adfa0b596e763c525a0d27ffb0f4ad7bc755d1407aebd165d49b41a
292,Gbenga-titled-man,Gbenga titled man,A yoruba chief who is also a car dealer,Male,Hair: Covered Eyes: Light blue Teeth: White with a gold tooth Clothing: Akan Accessories: None Expression: Emotional Strength: Friendly Weakness: Deceitful ,dc6c1a39-ec78-44ca-8296-68c6de7b5de4,cc72120822b44969607494f247f14a794c9521232640a95e4a085dc632591d95
293,Abaga-the-rapper,Abaga the rapper,A flashy millionaire and a music rapper,Male,Hair: Covered Eyes: Closed Teeth: White Clothing: Dongri and yellow T-shirt Accessories: Cap Expression: Happy Strength: Wealth Weakness: Recklessness ,c428411c-5a06-4b74-bd17-e53b76f9fc6c,582d7c43ac8ae8c5e3fb3ff24a0729e7b8148dee2a009d03896357b9bd97ced5
294,Izuchukwu-the-fisherman,Izuchukwu the fisherman,A fisherman who knows how to paddle well,Male,Hair: Covered Eyes: Closed Teeth: White with a gap tooth Clothing: Green shirt Accessories: Cap Expression: Dozzy Strength: Great body-build Weakness: Drunkard ,15e1caf2-06b3-45d8-9b35-f95965b64e34,fcdc79ef7b166c9fccd25097db24b9d33c3b8dd8766269501098d36b4e38e335
295,Mark-the-philanthropist,Mark the philanthropist,A London based philantropist.,Male,Hair: Brown Eyes: White Teeth: Closed Clothing: White and blue shirt Accessories: None Expression: Irritated Strength: Philanthropist Weakness: Anger issues ,b48cbd98-96c2-4ec4-9d17-2c798be5b90f,27f28f576d89182cf82998af3091a98280c9b3cdace11ed98ed3328efa2773b9
297,Okoro-the-bachelor,Okoro the bachelor,A local palm wine tapper with hopes and dreams,Male,Hair: Covered Eyes: Grey Teeth: White and a gold tooth Clothing: Wrapper across one shoulder Accessories: Cap Expression: Pretense Strength: Motivated Weakness: Poor,e441439d-49a3-41eb-bf9d-3c7f98c268bf,6af85e1bfad0b4d2622c440ef06a33acc827e5e3eae48ca10e2c22852ec51376
298,Saro-the-clothemaker,Saro the clothemaker,The yoruba man that stole the king's wife.,Male,Hair: Covered Eyes: Grey Teeth: White Clothing: Red and yellow agbada Accessories: Cap Expression: Straight face Strength: Good-looking Weakness: Womanizer,7e10af4e-1252-4f96-83a8-78411e152bae,652538721d8e4dbae803363f4d40374bb406fcf5a6a61bf7e701c2f197646064
299,Kalu-the-ichie,Kalu the ichie,A man of wealth with afluence spreading all over the east,Male,Hair: Covered Eyes: Sky-blue Teeth: White Clothing: Orange Plain and pattern shirt Accessories: Cap Expression: Happy Strength: Wealth Weakness: Pride,482ab247-73a4-4ff8-9172-732f3d0729b8,13619ecc96b28e917e48dc3aaa0634e861a3ca6754ec226d9002ac6dea98a97c
300,Tamuno-the-prince,Tamuno the prince,An Ijaw prince who is also the heir to the throne,Male,Hair: Covered Eyes: Sky-blue Teeth: Closed Clothing: Akan  Accessories: Cap Expression: Straight-face Strength: Caring Weakness: Easily deceived,108447d1-f2d5-4816-8ebb-599286c3fabf,1a90191abfe056d7be51569c577744833702b16b6131fa4ea08676b743f25eb1
,,,,,,,5de3e4fcbf75b5bd3207eb0f8095b6469c289cdfae93d4e1693246ee6e76f0d1
301,wendy-the -banker,wendy the  banker,"Wendy loves working in the bank, as she gets to meet different people.",Female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,587645e2-5ace-11ed-9b6a-0242ac120002,e3fc31c5afa985b4b1c425ec7d4da4399f66283b6fa5531bb21be997fcf0867e
302,uduak-the -dark horse,uduak the dark horse,Uduak looks innocent and has the whole apartment bugged,Female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,58764862-5ace-11ed-9b6a-0242ac120002,033f29bb4d39ebb14d013d4c35ce249c33f5342ee45c78376c9e87adec08bc8e
303,timeyin-the -eccentic,timeyin the eccentic,Timeyin is as eccentric as they come with no care for others opinions,Female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,58764a2e-5ace-11ed-9b6a-0242ac120002,22afccf7eb2632cc62c39205f78d1fe368564ff312d38045681d19ac11a6fa4d
304,omawunmi-the -businesswoman,omawunmi the businesswoman,Omawunmi is a no-nonsense woman with a shop in idumota,Female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,58764b78-5ace-11ed-9b6a-0242ac120002,203a3d4753196b483a7b35062a5412c8537f94b6bc845cdec97877c74eb3c1b9
305,halima-the-housewife,halima the housewife,Halima loves to bake and cook for her children,Female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,58764d8a-5ace-11ed-9b6a-0242ac120002,a5afcc4117637015059dc16b1d584be55b0ea7356bc396162732522dac23b291
306,muna-the -block sister,muna the block sister,Muna loves to tell everyone in the block about her younger escapades,Female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,58764ea2-5ace-11ed-9b6a-0242ac120002,02e2a4c27a4fca9a6b6dd022f138a24ed31d28718c76d1c4951a94cbbaf08f1d
307,stella-the -gossip,stella the gossip,Nobody gossips on the block like stella when smoking.,Female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,58764fd8-5ace-11ed-9b6a-0242ac120002,f0b5a9f44f1816f4ebc87ca655f4cad244da5d867be724852523e155d5d93b28
308,agbani-the-wannabe,agbani the wannabe,Agbani loves to shop antique ndecorations for her mansion in idi-iroko,Female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,5876542e-5ace-11ed-9b6a-0242ac120002,526e3c22854a1dba8dc74721f63f3f5fe54e4142a961ee60a50e98117182b08b
309,asante-the -warrior,asante the warrior,Asante came from along line of warriors in Ghana,Female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,58765578-5ace-11ed-9b6a-0242ac120002,10fedbc98315d95e18c5c528aea7710e7c898ddcab756ef6233ffbfc933a6450
310,hilda-the -insomaniac,hilda the insomaniac,Hilda prefers to sleep during the day,Female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,5876569a-5ace-11ed-9b6a-0242ac120002,afa9fad56ae80aa7f9f00d5d6cf6f34954ea90000507c9d0132de700d30ba051
311,sisi yemi-the -street aunty,sisi yemi the street aunty,Sisi Yemi is everyone's favourite street aunty.,Female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,587657a8-5ace-11ed-9b6a-0242ac120002,6e149797bd4149624050f736f55e09126346dd268d29dc7a67177824b7adad55
312,chiamaka-the -bully,chiamaka the bully,Chiamaka hates people in her business and likes to scare the kids on the block,Female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,587658ca-5ace-11ed-9b6a-0242ac120002,ad09af66a7ba20648467c5362d6c7d0f1fc09980623216d1b61b74b0814e65f2
313,gift-the-fashionista,gift the fashionista,Gift has always been bold and that spreads to her fashion sense too.,Female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,58765adc-5ace-11ed-9b6a-0242ac120002,961ca5c42ab600a9a9df0ff63d0d927e9e7736c8f384629aa21b9daa12f8e2a6
314,omoyene-the-weirdo,omoyene the weirdo,Omoyene likes to murmur to herself and talks about seeing ghosts,Female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,58765bea-5ace-11ed-9b6a-0242ac120002,1c505f02b88b8bde6fdb2e1b32b438f12b7a8a6019889b805a5ef1929ee64837
315,maria-the -freshface,maria the freshface,Maria likes to believe the world is sunshine and rainbows while blowing gum,Female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,58765d02-5ace-11ed-9b6a-0242ac120002,f8a5b0ab677ab457033f4af190501a766bb62e64a6ac40e71be9ebd7893bb559
316,monica-the -smoker,monica the smoker,Monica is never found without a pipe and loves to interject in every conversation,Female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,58765e24-5ace-11ed-9b6a-0242ac120002,2026e8bd6cd6b95fce3225fdc7ae49a1436a4d42bbc7752d6ec10c7c5b7bdf45
317,Janet -is always -found singing ,janet the singer,Janet is always found singing in whatever activity she’s doing,Female,,,19cdf9da1c42fc1dd9edfffd59c4ab22ee6ec820c2329fc344fd3d8e7ee1f717
318,,,,,,,a48030b63b4e3333a793fa32be86c2066e49eb2ca2fa42776876cf5f12188db4
319,,,,,,,b66cb83c61d6989dd3d372633c8e50dcf2d541b250bc74bdb23222b171ec0e5b
320,,,,,,,475ba58dc7ea08757a386d94f7175052b8c759e6b9cf2d01a19b97d34746e012
,,,,,,,5de3e4fcbf75b5bd3207eb0f8095b6469c289cdfae93d4e1693246ee6e76f0d1
321,Omunyinyi-the-stoic,omunyinyi the stoic,omunyinyi wears a Kitenge coat,male,Hair: bald Eyes: tearyTeeth: noneSkin: brownskinClothing: checked ankara Accessories: None Expression: Teary Strength: powerful Weakness: self-loathing,c2d6a3ac-1d4d-4268-ba7f-4f0f8f50c1ab,41c4e019e23df877d22fda31c43f0ef6214346414b502cabb292fe2df03b9f72
322,Kamau-the-sleeper,kamau the sleeper,closed eyes meditating,male,Hair: Blad Eyes: closed Teeth:  noneSkin: brownskin Clothing: black ankara Accessories: none Expression: flat Strength: open to suggestion Weakness: always sleepy,20330f5c-40c2-4f6a-b9d8-d1d04fb97daf,fd7f20f6fbe1e9eb1ce75f5bc9efc6c95e5a4327ebe6cab38763ac45b99d6d59
323,Mutiso-the-lastborn,mutiso the lastborn,masked up mutiso dozing off,male,Hair:bald Eyes: closed Teeth: none Skin: brownskin Clothing: yellow ankara Accessories: none  Expression: tired Strength: consistency weakness: pessismist,0706c338-42eb-4d26-84ea-c24b39628200,17ee4cdb62d25f724a9d87b16244bbd8dacc7ac06c39b02314b6b4476a05c16f
324,Omondi-the-vegeterian,omondi the vegeterian,omondi wears a green coat,male,Hair:bald Eyes: sharp eyed Teeth: none Skin: brownskin Clothing: green ankara Accessories: none Expression: alert Strength: leader Weakness: anxious,bfb5e8d5-d7a7-4aa8-85e8-d7d9afd4adb3,d7bae21c78d988a7ff578e0d525e0ba9dfe9c456b116551f79182a5c3ab50033
325,Barasa-the-optimist,barasa the optimist,looks up to the sky and makes a wish,male,Hair: bald Eyes: blue Teeth: none Skin: dark skin Clothing: brown ankara Accessories:none Expression: awake Strength: strong willed Weakness: immoral,2da4bef4-38cc-4414-99ad-7361fac04b2b,67f94f165da603878378b0ea733b09613cdc3d45e85e1c2240b2ef57be6f9620
326,Mwembu-the-elder,mwembu the elder,"old but not so old, with yellow his favorite color",male,Hair: bald Eyes: black Teeth: none Skin: dark skin Clothing: dark ankara Accessories: none  Expression: plain Strength: fulfilled Weakness: angry,36181230-6ac9-417f-af5c-23bdd2c25ecb,23935d5cd41d1e9bdfc936911b0da4635f0cd97bfc5235e8c197af158f8ca961
327,Mbogi-the-fighter,mbogi the fighter,masked up mbogi after capture,male,Hair: baldEyes:  blackTeeth: noneSkin: darkskin Clothing: onesideankara Accessories: noneExpression: willfull Strength: fighter  Weakness: rebellious,3a7bc3c4-1463-42ce-84c9-07337da64435,319891165b115adc664a0b03047465e748f802c850d8b67c16b0702f5b09d48f
328,Mrosho-the-runner,mrosho the runner,masked up mrosho,male,Hair: bald Eyes: sea blue Teeth: none Skin: darkskin Clothing: purple ankara Accessories: none Expression: alert  Strength: visionary  Weakness: destructive,b2ca2c76-3b6d-43f1-8cc9-089b6ab83876,9d9e9c50707281496bff9e2da17b92ec364b9e8b5e75cdb8d40552c4586e2ccb
329,Milele-the-african,milele the african,milele with a nice african print in orange,male,Hair: bald Eyes: blue Teeth: none Skin: dark skin Clothing: orange ankara Accessories: none Expression: timid Strength: leader Weakness: failure,644b0259-d75c-456d-934c-ce7c052bad3a,d848c5efde17b7db401f13d12579c48b130e5e06760e13a90dcb6cf3cf13480d
330,Olebon-the-oloibon,olebon the oloibon,olebon in customized buba sokoto,male,Hair: bald Eyes: closed Teeth: none Skin: darkskin Clothing: animal print Accessories: none Expression: surprised Strength: empathy   Weakness: Easily bored,de261efe-731d-461e-b2e4-42edd2f48f72,75afcc1791f0d62635609079b1829ae6218e959814e5a92571e582d21d08a19a
331,Chifu-the-maasai,chifu the maasai,clothing inspired by maasai shuka,male,Hair: bald Eyes: closed Teeth: none Skin: none Clothing: ankara shirt Accessories: none Expression: visionary Strength:  authentic Weakness: selfish,239933c4-7177-4b5b-86e8-e6f952301344,dc24326119903768989a5a38859b41935979508b5fbe2e476328bd733dab8fd9
332,Mwangaa-the-voice,mwangaa the voice,mwangaa the chief,male,Hair:  bald Eyes: blue Teeth: none Skin: darkskin Clothing: white lined ankara Accessories: none Expression: kindness Strength:  brave Weakness: impatient,49179b62-812d-4d0f-b518-4af7fa79f8bc,b910baa7ac693e8891540aca17b577b99c2ad4ea997c7186d80ab18075adb4c2
333,Waforte-the-first,waforte the first,masked up man who does sleep a lot,male,Hair: bald Eyes: closedTeeth:none Skin: darkskin Clothing: jean ankara Accessories: none Expression: shy Strength:  Weakness: selfish,871912a8-d96e-4594-b7b3-450d94ee6924,ea9cba732eddfac3f4b40c29efd626ef3c37db088dd818877db9562a1a48abb8
334,Kariuki-the-prayerful-one,kariuki the prayerful one,kariuki closes his eyes,male,Hair: bald Eyes: closed eyes Teeth: Skin: Clothing: Accessories: Expression: bored Strength: intelligent  Weakness: passive,6a5b6fa6-0f91-4b01-957f-c766945eb704,737e4474115ea86f6fb8f8d307cf61c3dc4e8237a67024880f70683094da9e85
335,Kenyanese-the-priest,kenyanese the priest,masked up man with with white cloth,male,Hair: bald Eyes: white Teeth: none Skin: darkskin Clothing: white jean shirt Accessories: none Expression: calculative Strength: kind Weakness: takes things personally,0706c338-42eb-4d26-84ea-c24b39628200,4483484dda6fc3c14c53f96e8853e445425945905ee6875f9499c8c8fd113808
336,Nyimbo-the-singer,nyimbo the singer,glasses and a pot for the night,female,Hair:dreadlocks Eyes: glassed up Teeth:none Skin: brownskin Clothing: off shoulder ankara Accessories: a pot Expression: free spirited Strength: fair Weakness: impatient,d05af807-b3e9-4ad3-8df1-b7864d2daa33,a40365216b4716153e21c3fcbc5055aaf073588a32b442e705dc901b7e8952cb
337,maathai-the-nobel-winner,maathai the nobel winner,mathaai the warrior,female,Hair: pink afro Eyes: glassed up Teeth: none Skin: brownskin Clothing: colored ankara Accessories: noneExpression: strict Strength: leadership  Weakness:short sighted,0871cb8c-8d56-445d-92c7-01793f327707,ddfb4ef2a21f721502fd9e93c1526c73485f2b34a2caeb8d36ce03999e61ed96
338,Tish-the-angry-one,tish the angry one,angry tish with specs on,female,Hair: black huge afro Eyes:  none Teeth: broken teeth Skin: brownskin Clothing: offshoulder ankara Accessories: none Expression: disgusted Strength: blunt Weakness:greedy,750a89dc-44ff-43bf-8211-b7776f1b5e52,0cefa196f44d50c35e515ce0dc1f0e7fcb59f12b91105d409ea14823edb238d9
339,Wamenza-the-winner,wamenza the winner,wamenza the leader,female,Hair: laid back Eyes: none Teeth: none Skin: brownskin Clothing: offshoulder ankara Accessories: noneExpression: meditative Strength: strict Weakness: impulsive,7348c9ed-4ac9-4785-9434-0a1f0dcaf8d8,a6a2817d0ccb55a38e631fdc6e7b4483e55f309b1aaf8156bdb95b657a4f2d0c
340,Isaya-the-track-king,isaya the track king,isaya the traveller,male,Hair: none Eyes: glassed up Teeth: none Skin: brown skin Clothing: bright ankara Accessories: none Expression: taken aback Strength: straight forward Weakness: selfish,41781a16-d2b8-4fc6-a1f4-b9fffc5c95ba,3018815aefa4392505557043102be51089f20b159a70edeb2df268e8db56baa8
,,,,,,,5de3e4fcbf75b5bd3207eb0f8095b6469c289cdfae93d4e1693246ee6e76f0d1
341,mansur-the-partyrider,mansur the partyrider,Mansur is the life of a party and never caught dulling.,male,"Hair: none, Eyes: ash grey, Teeth: none,. Clothing: agbda, Accessories: studs, Expression:happy, Strength: intelligent, Weakness: red whine",78db0f29-3936-4d9c-bb90-3dbf20dba2dd,857ef451b0a4152a4d1240164e278b5943325f72e5190738295f01eded4c24ed
342,tola-the-businessman,tola the businessman,Tola loves business and owns several shops in idumota,female,"Hair: none, Eyes: midnightblack, Teeth: none,. Clothing: purple blowse, Accessories: mask, Expression:furious, Strength: powerful, Weakness: love",1c5d5a6b-cf04-4bf9-978e-22a7e9bc5819,e5b8327ff2213cae4b6ff7835a93d683073215f647cb80c2fdcd464122b905ce
343,abdullahi-the-honorable,abdullahi the honorable,"Popularly called ""buje budanu"" a godfather who lavishes money on young thugs",male,"Hair: none, Eyes: blue-blackish, Teeth: none,. Clothing: yoruba attire, Accessories: none, Expression:anxious, Strength: foreseer, Weakness:indecision",dd708276-445f-4483-8357-fc08e999328f,126a8c58b2b015d2e1884bca1fcc5ac150d9073688cc4732a71f00e0f2a949be
344,ojukwu-the-badguy,ojukwu the badguy,Ojukwu likes to oppress and cause trouble,male," Hair: bald, Eyes: eagle eyeball, Teeth: none,. Clothing: yellow lining blowse, Accessories: none, Expression: none, Strength: good eyes for fashion, Weakness: lack will power",76c1eabf-15ea-446a-8426-472982c4d800,0fd4412962370e44e3df2d7de225e1daf8852c4def96c0a4fc044a2b5eea89d6
345,odunsi-the-egbonadugbo,odunsi the egbonadugbo,Odunsi loves to advise and people in the community rely on him,male," Hair: none, Eyes: dark brown, Teeth: none, Clothing: one shoulder gown, Accessories: none, Expression: none, Strength: elegant, Weakness: easily depressed",2912ab8b-5875-4277-a5c2-a0209aee90ae,a44c368f3dc29534af945f290fd05fc47f5a74258b25d9d3983571048f6044ce
346,ogogo-the-sugardaddy,ogogo the sugardaddy,A rich oil magnate who loves to 'solve' young women's problems with his millions,male," Hair: none, Eyes: cat eyes, Teeth: none, Clothing: purple danshiki, Accessories:nese mask, Expression: straight face, Strength: brave , Weakness: too selfless",aa575f30-04ad-45f9-a798-199465117793,6a487f4b7b8db0d1f21f5b9109b57a03da1ec5886e1d4c15e215a1a431a6bd35
347,suli-the-amalaseller,suli the amalaseller,"Suli sells amala , she is very rude, and they say thats the secret to her sweet food",female,"Eyes: cat eyes. weakness: selfish, Accessories: nose mask, Expression: disappointed, Clothing: brown agba, Stregth: strong will-power",46fd4821-04dd-4f65-9290-c130a00c4c93,45982a16a9e1321f94cb6036ad85cf162039b4d772b16fe740683909bdfb5b90
348,dolapo-the-afrocentric,dolapo the afrocentric,Dolapo loves african prints and loves to showcase culture,female,"Eyes: cat eyes. Weakness:emotional, Accessories: nose mask, Expression: happy, Clothing: an orange blouse with brown stripe, Stregth: beautiful",cbab232b-5c62-4df8-867b-018a2e496cd4,b280e9837c9a88b3a9e36004f36bc622caa91971556f139fcbc4a868898fb392
349,danjuma-the-saddist,danjuma-the-saddist,Danjuma is a grumpy man no one likes to associate with him,male,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,5a42af57-186e-425b-b6b1-f72bda4911ef,ff44e874dc7e2f2f0f5c85015e0fe0455d2f0bb3a3956eb051f980a20b279970
350,chinedu-the-farmer,chinedu the farmer,An hardworking farmer who has 6 boys who help out on the farm,male,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,9e8a55d7-0d8d-465d-a628-08ddd387a2c6,ca3cb340d6578c0c85db7b5324f71c25c8ba73b1b93da716f9d2af0d3d773f63
351,kola-the-baldguy,kola the baldguy,kola girls fall for his bald head and always barb it,male,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,c32f1757-da9c-49e8-bd79-510a42b6971a,b43ce7344367f3fec082d6d8c36beccfd3673c7008dccc6bf36c895060bb0474
352,bola-the-bosslady,bola the bosslady,Bola commands boys and chill with men,female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,09ff910d-a2be-49d5-8b27-b9378458701c,5d8c3af9eecf56a01c5123e85820e05103ab725ed4293ce9899f0309d0c386fb
353,kunle-the-alienguy,kunle the alienguy,People feared kunle because of his alien's colour,male,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,dea2f5d8-e3ba-4d3f-9a17-0a7edfd0c100,570d1de06d09ab6919fc61013d4dbb4ffed8d80778c50b4c60b00b6f6f174089
354,segun-the-sharp,segun the sharp,Segun drives with caution and people love him for that,male,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,f9159a9c-f48d-4aee-bcc1-63c86209f806,f2b7f17637d1847e49128bcbed7e0af6c5616e0c4d25bdaaa4ef0d7936b48e4f
355,ola-the-hardguy,ola the hardguy,Ola is feared by many and he leveraged on that,male,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,a814fc77-bdfa-4e50-8ba8-3e4e4bcfb3c0,260c3b57613c108e575ece652acc1163ae94d88b6d75853d2bf396af6c0541c6
356,emeka-the-chief,emeka the chief,Crowd are always at Emeka's house and people respect him,male,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,195e89c8-0b6f-43ad-9a2c-d20f03439e96,00431210fb7c3bd05f5deb42abb2e25fab825f15a8e0fd464e65529fe2e31a4d
